id;company_id;provider_id;name;fullname;has_wifi;has_plug;has_adjustable_seats;has_bicycle;transport_type
9;1;;ouibus;Ouibus;True;True;True;False;bus
10;2;;deinbus;Deinbus.de;False;False;False;False;bus
11;3;;infobus;Infobus;False;False;False;False;bus
12;4;;studentAgency;Student Agency;False;False;False;False;bus
13;5;;flixbus;Flixbus;True;False;False;False;bus
14;6;;driivme;DriiveMe;False;False;False;False;car
15;8;;alsa;Alsa;False;False;False;False;bus
16;9;;distribusion;Distribusion;False;False;False;False;bus
17;9;31;expressbusMunchen;Expressbus Munchen;False;False;False;False;bus
18;9;33;berlinLinienBus;Berlin Linien Bus;False;False;False;False;bus
19;9;37;ostfrieslandexpress;OstfrieslandExpress;False;False;False;False;bus
20;9;41;icBus;IC Bus;False;False;False;False;bus
21;9;45;busandfly;Busandfly;False;False;False;False;bus
22;9;47;publicexpress;Publicexpress;False;False;False;False;bus
23;9;49;hahnExpress;Hahn Express;False;False;False;False;bus
24;9;57;regionalverkehrErzgebirge;Regionalverkehr Erzgebirge;False;False;False;False;bus
25;9;65;autobusoberbayern;AutobusOberbayern;False;False;False;False;bus
26;9;77;schillingOmnibusverkehr;Schilling Omnibusverkehr;False;False;False;False;bus
27;9;81;kraftReisen;Kraft Reisen;False;False;False;False;bus
28;9;83;mayerMayer;Mayer  Mayer;False;False;False;False;bus
29;9;85;ecolines;ECOLINES;False;False;False;False;bus
30;9;111;vogtlandFernbus;Vogtland Fernbus;False;False;False;False;bus
31;9;115;orlandREISEN;ORLAND REISEN;False;False;False;False;bus
32;9;129;postbus;Postbus;False;False;False;False;bus
33;9;141;expressbus;ExpressBus;False;False;False;False;bus
34;9;149;berlinShuttle;Berlin Shuttle;False;False;False;False;bus
35;9;151;matzesminibus;MatzesMinibus;False;False;False;False;bus
36;9;159;autotrans;Autotrans;False;False;False;False;bus
37;9;161;interbusKosiceExpress;Interbus Kosice Express;False;False;False;False;bus
38;9;163;nisEkspres;Nis Ekspres;False;False;False;False;bus
39;9;165;silvanaTour;Silvana Tour;False;False;False;False;bus
40;9;167;sofiabus;SofiaBus;False;False;False;False;bus
41;9;169;sportTurist;Sport Turist;False;False;False;False;bus
42;9;171;turancar;Turancar;False;False;False;False;bus
43;9;173;bigsimHalilovic;BIGSIM Halilovic;False;False;False;False;bus
